theta	val
3.01 	0.0177863
3.02 	0.0177713
3.03 	0.0177575
3.04 	0.0177448
3.05 	0.0177334
3.06 	0.0177232
3.07 	0.0177141
3.08 	0.0177063
3.09 	0.0176996
3.1 	0.0176941
3.11 	0.0176898
3.12 	0.0176866
3.13 	0.0176847
3.14 	0.0176839
3.14159 	0.0176839
